id,prefecture_id,prefecture_en,prefecture_ja
01000,01,Hokkaido,北海道
02000,02,Aomori,青森県
03000,03,Iwate,岩手県
04000,04,Miyagi,宮城県
05000,05,Akita,秋田県
06000,06,Yamagata,山形県
07000,07,Fukushima,福島県
08000,08,Ibaraki,茨城県
09000,09,Tochigi,栃木県
10000,10,Gunma,群馬県
11000,11,Saitama,埼玉県
12000,12,Chiba,千葉県
13000,13,Tokyo,東京都
14000,14,Kanagawa,神奈川県
15000,15,Niigata,新潟県
16000,16,Toyama,富山県
17000,17,Ishikawa,石川県
18000,18,Fukui,福井県
19000,19,Yamanashi,山梨県
20000,20,Nagano,長野県
21000,21,Gifu,岐阜県
22000,22,Shizuoka,静岡県
23000,23,Aichi,愛知県
24000,24,Mie,三重県
25000,25,Shiga,滋賀県
26000,26,Kyoto,京都府
27000,27,Osaka,大阪府
28000,28,Hyōgo,兵庫県
29000,29,Nara,奈良県
30000,30,Wakayama,和歌山県
31000,31,Tottori,鳥取県
32000,32,Shimane,島根県
33000,33,Okayama,岡山県
34000,34,Hiroshima,広島県
35000,35,Yamaguchi,山口県
36000,36,Tokushima,徳島県
37000,37,Kagawa,香川県
38000,38,Ehime,愛媛県
39000,39,Kōchi,高知県
40000,40,Fukuoka,福岡県
41000,41,Saga,佐賀県
42000,42,Nagasaki,長崎県
43000,43,Kumamoto,熊本県
44000,44,Ōita,大分県
45000,45,Miyazaki,宮崎県
46000,46,Kagoshima,鹿児島県
47000,47,Okinawa,沖縄県